UniProtID,GeneName,Class,isInMatrisome,Division,Category,probability
NULL,NULL,NULL,NULL,NULL,NULL,NULL
Q9Y2L6,FRMD4B,nonECM,No,NULL,NULL,0.863858586
Q14676,MDC1,nonECM,No,NULL,NULL,0.759111111
Q9Y2D8,SSX2IP,nonECM,No,NULL,NULL,0.96559596
Q96HC4,PDLIM5,ECM,No,NULL,NULL,0.612989899
P19022,CDH2,ECM,No,NULL,NULL,0.742787879
Q9H254,SPTBN4,nonECM,No,NULL,NULL,0.899555556
P62899,RPL31,nonECM,No,NULL,NULL,0.793393939
P62888,RPL30,nonECM,No,NULL,NULL,0.697353535
P62879,GNB2,nonECM,No,NULL,NULL,0.676424242
P62841,RPS15,nonECM,No,NULL,NULL,0.902888889
P62829,RPL23,nonECM,No,NULL,NULL,0.641232323
Q04725,TLE2,nonECM,No,NULL,NULL,0.641757576
P42356,PI4KA,nonECM,No,NULL,NULL,0.733959596
P07332,FES,nonECM,No,NULL,NULL,0.823555556
Q9UGP4,LIMD1,nonECM,No,NULL,NULL,0.508222222
P62937,PPIA,ECM,No,NULL,NULL,0.594747475
P62917,RPL8,nonECM,No,NULL,NULL,0.52440404
P62906,RPL10A,nonECM,No,NULL,NULL,0.800888889
Q9Y6N8,CDH10,ECM,No,NULL,NULL,0.722161616
P52803,EFNA5,ECM,No,NULL,NULL,0.69640404
Q9UGI8,TES,nonECM,No,NULL,NULL,0.696868687
O75369,FLNB,ECM,No,NULL,NULL,0.571616162
Q8NFX7,STXBP6,nonECM,No,NULL,NULL,0.819010101
O75131,CPNE3,nonECM,No,NULL,NULL,0.627939394
P17813,ENG,nonECM,No,NULL,NULL,0.561212121
Q9P0U3,SENP1,nonECM,No,NULL,NULL,0.742666667
P0DMV8,HSPA1A,nonECM,No,NULL,NULL,0.817232323
Q96JB8,MPP4,nonECM,No,NULL,NULL,0.650666667
Q9ULL0,KIAA1210,nonECM,No,NULL,NULL,0.880989899
O75838,CIB2,nonECM,No,NULL,NULL,0.809434343
Q9ULB5,CDH7,ECM,No,NULL,NULL,0.753212121
Q9ULB4,CDH9,ECM,No,NULL,NULL,0.698707071
P27348,YWHAQ,nonECM,No,NULL,NULL,0.820565657
O60331,PIP5K1C,nonECM,No,NULL,NULL,0.759212121
O95425,SVIL,nonECM,No,NULL,NULL,0.872828283
P32969,RPL9,nonECM,No,NULL,NULL,0.63759596
Q9C0C2,TNKS1BP1,nonECM,No,NULL,NULL,0.64020202
P32926,DSG3,ECM,No,NULL,NULL,0.76240404
Q9NQS3,NECTIN3,ECM,No,NULL,NULL,0.829353535
P07737,PFN1,nonECM,No,NULL,NULL,0.564969697
O43155,FLRT2,ECM,No,NULL,NULL,0.777858586
P22681,CBL,ECM,No,NULL,NULL,0.521474747
P05362,ICAM1,ECM,No,NULL,NULL,0.814464646
O60674,JAK2,nonECM,No,NULL,NULL,0.572565657
P98160,HSPG2,ECM,Yes,Core matrisome,Proteoglycans,0.986787879
Q9BR76,CORO1B,nonECM,No,NULL,NULL,0.595737374
P62081,RPS7,nonECM,No,NULL,NULL,0.825232323
Q12884,FAP,ECM,No,NULL,NULL,0.770545455
Q96NY8,NECTIN4,ECM,No,NULL,NULL,0.698929293
Q96NW7,LRRC7,nonECM,No,NULL,NULL,0.514565657
Q9BQL6,FERMT1,nonECM,No,NULL,NULL,0.852262626
Q9BQJ4,TMEM47,nonECM,No,NULL,NULL,0.638161616
Q9UQB8,BAIAP2,nonECM,No,NULL,NULL,0.854868687
O60504,SORBS3,nonECM,No,NULL,NULL,0.737959596
P60953,CDC42,nonECM,No,NULL,NULL,0.619494949
P39023,RPL3,nonECM,No,NULL,NULL,0.755414141
P39019,RPS19,nonECM,No,NULL,NULL,0.722585859
Q9UI47,CTNNA3,nonECM,No,NULL,NULL,0.84589899
Q9UHR4,BAIAP2L1,nonECM,No,NULL,NULL,0.884363636
Q9UI08,EVL,nonECM,No,NULL,NULL,0.631252525
O95965,ITGBL1,ECM,No,NULL,NULL,0.902262626
Q9Y4G6,TLN2,nonECM,No,NULL,NULL,0.740848485
P52799,EFNB2,ECM,No,NULL,NULL,0.685858586
Q9UHB9,SRP68,nonECM,No,NULL,NULL,0.845838384
Q9UHB6,LIMA1,nonECM,No,NULL,NULL,0.857434343
P17302,GJA1,ECM,No,NULL,NULL,0.53389899
P17301,ITGA2,ECM,No,NULL,NULL,0.74979798
Q9UHA4,LAMTOR3,nonECM,No,NULL,NULL,0.727515152
P07384,CAPN1,nonECM,No,NULL,NULL,0.577212121
Q9UJW0,DCTN4,nonECM,No,NULL,NULL,0.834666667
P07355,ANXA2,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.85040404
Q16527,CSRP2,nonECM,No,NULL,NULL,0.552585859
P05783,KRT18,nonECM,No,NULL,NULL,0.900545455
P22223,CDH3,ECM,No,NULL,NULL,0.742040404
C9J069,AJM1,nonECM,No,NULL,NULL,0.575030303
P27361,MAPK3,nonECM,No,NULL,NULL,0.840161616
P32004,L1CAM,ECM,No,NULL,NULL,0.779838384
P15924,DSP,nonECM,No,NULL,NULL,0.94020202
P62745,RHOB,nonECM,No,NULL,NULL,0.732707071
P62701,RPS4X,nonECM,No,NULL,NULL,0.707858586
P17096,HMGA1,ECM,No,NULL,NULL,0.502323232
O43294,TGFB1I1,nonECM,No,NULL,NULL,0.578080808
O75954,TSPAN9,nonECM,No,NULL,NULL,0.542343434
Q14847,LASP1,nonECM,No,NULL,NULL,0.565717172
O43739,CYTH3,nonECM,No,NULL,NULL,0.802767677
P49023,PXN,nonECM,No,NULL,NULL,0.554767677
Q96GP6,SCARF2,ECM,No,NULL,NULL,0.866646465
P27797,CALR,nonECM,No,NULL,NULL,0.596040404
O43707,ACTN4,nonECM,No,NULL,NULL,0.942666667
Q9H159,CDH19,ECM,No,NULL,NULL,0.673090909
Q5VW36,FOCAD,nonECM,No,NULL,NULL,0.802666667
Q9UJ99,CDH22,ECM,No,NULL,NULL,0.789434343
O95990,FAM107A,nonECM,No,NULL,NULL,0.900686869
P00533,EGFR,ECM,No,NULL,NULL,0.676222222
P27449,ATP6V0C,nonECM,No,NULL,NULL,0.668949495
P07237,P4HB,nonECM,No,NULL,NULL,0.542323232
P27487,DPP4,ECM,No,NULL,NULL,0.769373737
Q07157,TJP1,ECM,No,NULL,NULL,0.528626263
P21980,TGM2,ECM,Yes,Matrisome-associated,ECM Regulators,0.865818182
P21926,CD9,nonECM,No,NULL,NULL,0.557656566
Q92502,STARD8,nonECM,No,NULL,NULL,0.849676768
P08133,ANXA6,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.806484848
Q9HBI0,PARVG,nonECM,No,NULL,NULL,0.861131313
P04920,SLC4A2,nonECM,No,NULL,NULL,0.658444444
P61978,HNRNPK,nonECM,No,NULL,NULL,0.645232323
Q99569,PKP4,nonECM,No,NULL,NULL,0.558161616
Q9HBT6,CDH20,ECM,No,NULL,NULL,0.669292929
